Rank,Usuario,Intentos,PuntajePublico,PuntajePrivado
1,melidalessandro,31,0.71529,0.54711
2,slzunigap,236,0.73435,0.53029
3,boccoalessio,31,0.52192,0.52815
4,nacmraf,12,0.62821,0.52524
5,GitHubJotaPe,6,0.62262,0.51663
6,santiagodrossi,84,0.66288,0.5115
7,adriancal77,189,0.7157,0.50835
8,nhorro,25,0.45417,0.50705
9,fbetteo,51,0.70768,0.5047
10,leogcalderon1994,243,0.76815,0.50336
11,augusto39910,58,0.63309,0.49086
12,gimenezgea,31,0.62645,0.46877
13,tinchoroman,23,0.62251,0.46714
14,federico.abait,49,0.61132,0.4527
15,LucianoPer,15,0.60436,0.45266
16,lnperoni,14,0.65914,0.4485
17,cristinanietocano,2,0.57775,0.44545
18,felixlapalma,6,0.52753,0.4448
19,dawoonchoi330,40,0.6112,0.44361
20,luchitosoles99,322,0.48864,0.43931
21,sebincic,109,0.63939,0.4238
22,franciscoangerosa,3,0.54326,0.42287
23,hernieche,13,0.50948,0.41975
24,jmorellid,23,0.53001,0.40919
25,AlfonsoRafel,34,0.53001,0.40919
26,INTA-MNC,1,0.52706,0.39526
27,agtechmetadata,32,0.38728,0.38195
28,HoracioNakama,75,0.62986,0.37832
29,ro.devesa,5,0.43249,0.37221
30,marengobrn,3,0.41068,0.35445
31,pellegrini,25,0.59745,0.35072
32,nszkwir,34,0.41519,0.34666
33,soldado.chamame2020,1,0.19739,0.3337
34,adriandipaolo,31,0.34471,0.32303
35,emicassin92,37,0.44085,0.29608
36,vpc2.2020,16,0.45232,0.29582
37,agusgarciapereira,13,0.33618,0.26034
38,OctavioBit,1,0.27929,0.24051
39,maximlopez18,3,0.25197,0.23664
40,pablo.rivoir,1,0.16733,0.20716
41,juanfinello,1,0.09578,0.17639
42,gabrielaranda8023feb26cc8243b6,5,0.09122,0.10613
43,enriquenieva67,1,0.12545,0.10416
44,juanignaciorey92,7,0.11111,0.1
45,santiago.oberto,1,0.06307,0.06274
46,ariel.faur,1,0.06307,0.06274
47,sebastian_incicco,1,0.06307,0.06274
48,cjccollado,1,0.06307,0.06274
49,rafa1485,1,0.06307,0.06274
50,mariavictoriamunafo,103,0.06307,0.06274
51,rafzam18,2,0.06307,0.06274
52,lfernandez,1,0.06307,0.06274
53,carlosmoya,8,0.06307,0.06274
54,golivieri2,1,0.06307,0.06274
55,mjvallone,1,0.06307,0.06274
56,nicoomacian,1,0.06307,0.06274
57,augusto.hassel,2,0.06307,0.06274
58,alanbach89,1,0.06307,0.06274
